"data";"valor"
"04/06/1986";"17,80"
"05/06/1986";"18,50"
"06/06/1986";"18,31"
"09/06/1986";"18,76"
"10/06/1986";"18,40"
"11/06/1986";"18,31"
"12/06/1986";"18,26"
"13/06/1986";"18,14"
"16/06/1986";"18,24"
"17/06/1986";"18,16"
"18/06/1986";"18,18"
"19/06/1986";"18,14"
"20/06/1986";"18,10"
"23/06/1986";"18,12"
"24/06/1986";"18,10"
"25/06/1986";"18,24"
"26/06/1986";"18,21"
"27/06/1986";"18,18"
"30/06/1986";"18,27"
"01/07/1986";"18,28"
"02/07/1986";"18,77"
"03/07/1986";"20,48"
"04/07/1986";"23,31"
"07/07/1986";"23,35"
"08/07/1986";"23,30"
"09/07/1986";"23,69"
"10/07/1986";"23,91"
"11/07/1986";"23,92"
"14/07/1986";"23,93"
"15/07/1986";"23,80"
"16/07/1986";"23,83"
"17/07/1986";"23,83"
"18/07/1986";"23,88"
"21/07/1986";"23,89"
"22/07/1986";"23,96"
"23/07/1986";"24,78"
"24/07/1986";"24,87"
"25/07/1986";"24,95"
"28/07/1986";"25,08"
"29/07/1986";"25,08"
"30/07/1986";"25,07"
"31/07/1986";"25,08"
"01/08/1986";"25,13"
"04/08/1986";"25,23"
"05/08/1986";"25,34"
"06/08/1986";"25,51"
"07/08/1986";"26,60"
"08/08/1986";"32,04"
"11/08/1986";"37,91"
"12/08/1986";"37,54"
"13/08/1986";"38,49"
"14/08/1986";"38,59"
"15/08/1986";"39,46"
"18/08/1986";"39,76"
"19/08/1986";"39,62"
"20/08/1986";"39,54"
"21/08/1986";"39,75"
"22/08/1986";"39,83"
"25/08/1986";"39,80"
"26/08/1986";"39,79"
"27/08/1986";"39,81"
"28/08/1986";"39,78"
"29/08/1986";"39,88"
"01/09/1986";"39,07"
"02/09/1986";"39,15"
"03/09/1986";"39,28"
"04/09/1986";"39,17"
"05/09/1986";"39,20"
"08/09/1986";"39,14"
"09/09/1986";"39,23"
"10/09/1986";"39,19"
"11/09/1986";"39,19"
"12/09/1986";"39,19"
"15/09/1986";"39,19"
"16/09/1986";"39,19"
"17/09/1986";"39,42"
"18/09/1986";"39,47"
"19/09/1986";"39,56"
"22/09/1986";"39,64"
"23/09/1986";"39,75"
"24/09/1986";"39,63"
"25/09/1986";"39,70"
"26/09/1986";"39,67"
"29/09/1986";"39,75"
"30/09/1986";"39,78"
"01/10/1986";"18,29"
"02/10/1986";"19,87"
"03/10/1986";"21,33"
"06/10/1986";"23,37"
"07/10/1986";"23,51"
"08/10/1986";"23,69"
"09/10/1986";"24,21"
"10/10/1986";"24,30"
"13/10/1986";"24,22"
"14/10/1986";"24,22"
"15/10/1986";"24,28"
"16/10/1986";"24,34"
"17/10/1986";"24,25"
